,R,G,B,hist,framenum,frameName
1,6.12332439678,5.07238605898,7.31367292225,0.368,14.0,monstruo/monstruo-014.png
2,13.203539823,22.6017699115,36.4247787611,0.114,14.0,monstruo/monstruo-014.png
3,22.5172413793,42.3620689655,61.0,0.058,14.0,monstruo/monstruo-014.png
4,42.0350877193,69.6140350877,86.1052631579,0.057,14.0,monstruo/monstruo-014.png
5,61.8636363636,102.227272727,120.454545455,0.022,14.0,monstruo/monstruo-014.png
6,45.1428571429,81.4285714286,19.2857142857,0.007,14.0,monstruo/monstruo-014.png
7,159.833333333,220.5,228.5,0.006,14.0,monstruo/monstruo-014.png
0,5.84574468085,5.15159574468,7.83244680851,0.374,15.0,monstruo/monstruo-015.png
1,9.61827956989,14.3575268817,19.6989247312,0.374,15.0,monstruo/monstruo-015.png
2,17.5656565657,30.5555555556,40.5555555556,0.099,15.0,monstruo/monstruo-015.png
3,30.2063492063,51.619047619,63.0,0.063,15.0,monstruo/monstruo-015.png
4,47.0588235294,77.0,94.6078431373,0.051,15.0,monstruo/monstruo-015.png
5,67.6428571429,107.642857143,126.321428571,0.028,15.0,monstruo/monstruo-015.png
6,100.5,168.875,208.5,0.008,15.0,monstruo/monstruo-015.png
7,169.666666667,211.0,228.0,0.003,15.0,monstruo/monstruo-015.png
0,7.41363636364,3.29090909091,2.77272727273,0.22,16.0,monstruo/monstruo-016.png
1,8.8779342723,4.69483568075,4.1455399061,0.213,16.0,monstruo/monstruo-016.png
2,12.7528089888,9.49438202247,8.2808988764,0.178,16.0,monstruo/monstruo-016.png
3,10.7674418605,7.35465116279,6.23255813953,0.172,16.0,monstruo/monstruo-016.png
4,15.1287878788,11.6818181818,10.3787878788,0.132,16.0,monstruo/monstruo-016.png
5,18.2280701754,14.9824561404,13.4912280702,0.057,16.0,monstruo/monstruo-016.png
6,22.16,18.68,16.56,0.025,16.0,monstruo/monstruo-016.png
7,32.3333333333,29.6666666667,28.0,0.003,16.0,monstruo/monstruo-016.png
0,8.03351955307,3.8156424581,3.79608938547,0.358,17.0,monstruo/monstruo-017.png
1,11.125,7.44444444444,6.85763888889,0.288,17.0,monstruo/monstruo-017.png
2,14.0147058824,10.0931372549,9.53431372549,0.204,17.0,monstruo/monstruo-017.png
3,17.837398374,13.9837398374,13.3495934959,0.123,17.0,monstruo/monstruo-017.png
4,23.0476190476,19.1904761905,18.9047619048,0.021,17.0,monstruo/monstruo-017.png
5,34.3333333333,29.3333333333,36.6666666667,0.003,17.0,monstruo/monstruo-017.png
6,9.5,3.0,31.0,0.002,17.0,monstruo/monstruo-017.png
7,57.0,73.0,115.0,0.001,17.0,monstruo/monstruo-017.png
0,7.21359223301,2.83495145631,3.49029126214,0.412,18.0,monstruo/monstruo-018.png
1,11.3552631579,7.35087719298,6.77631578947,0.228,18.0,monstruo/monstruo-018.png
2,16.5314685315,9.3006993007,5.62937062937,0.143,18.0,monstruo/monstruo-018.png
3,15.5144927536,10.9420289855,9.45652173913,0.138,18.0,monstruo/monstruo-018.png
4,21.0,15.3653846154,12.75,0.052,18.0,monstruo/monstruo-018.png
5,11.9090909091,8.54545454545,22.8181818182,0.011,18.0,monstruo/monstruo-018.png
6,35.2222222222,29.3333333333,24.3333333333,0.009,18.0,monstruo/monstruo-018.png
7,23.1428571429,20.8571428571,40.4285714286,0.007,18.0,monstruo/monstruo-018.png
0,17.0576923077,10.6666666667,7.34935897436,0.312,19.0,monstruo/monstruo-019.png
1,7.72727272727,2.81493506494,3.69805194805,0.308,19.0,monstruo/monstruo-019.png
2,13.664893617,7.78723404255,5.80319148936,0.188,19.0,monstruo/monstruo-019.png
3,21.6803278689,16.2786885246,12.237704918,0.122,19.0,monstruo/monstruo-019.png
4,27.75,22.9791666667,18.1458333333,0.048,19.0,monstruo/monstruo-019.png
5,38.8666666667,34.2666666667,27.8666666667,0.015,19.0,monstruo/monstruo-019.png
6,11.25,9.5,29.5,0.004,19.0,monstruo/monstruo-019.png
7,18.6666666667,25.6666666667,80.3333333333,0.003,19.0,monstruo/monstruo-019.png
0,17.5342960289,11.2599277978,8.1119133574,0.277,20.0,monstruo/monstruo-020.png
1,13.4588744589,7.88744588745,7.03896103896,0.231,20.0,monstruo/monstruo-020.png
2,8.55504587156,3.40825688073,4.06880733945,0.218,20.0,monstruo/monstruo-020.png
3,21.4555555556,16.1222222222,13.4611111111,0.18,20.0,monstruo/monstruo-020.png
4,29.56,23.9066666667,18.8533333333,0.075,20.0,monstruo/monstruo-020.png
5,42.4705882353,37.7058823529,32.4705882353,0.017,20.0,monstruo/monstruo-020.png
6,76.0,114.0,185.0,0.001,20.0,monstruo/monstruo-020.png
7,26.0,32.0,80.0,0.001,20.0,monstruo/monstruo-020.png
0,15.7582417582,10.3919413919,5.44688644689,0.273,21.0,monstruo/monstruo-021.png
1,18.2486772487,12.582010582,7.27513227513,0.189,21.0,monstruo/monstruo-021.png
2,8.52287581699,3.71895424837,2.16339869281,0.153,21.0,monstruo/monstruo-021.png
3,12.9160305344,8.23664122137,4.59541984733,0.131,21.0,monstruo/monstruo-021.png
4,21.2809917355,16.3223140496,10.6280991736,0.121,21.0,monstruo/monstruo-021.png
5,10.5842696629,5.84269662921,3.16853932584,0.089,21.0,monstruo/monstruo-021.png
6,25.9090909091,20.3333333333,14.2424242424,0.033,21.0,monstruo/monstruo-021.png
7,35.8181818182,23.1818181818,15.0909090909,0.011,21.0,monstruo/monstruo-021.png
0,15.4725738397,10.3797468354,6.28691983122,0.237,22.0,monstruo/monstruo-022.png
1,18.0557939914,12.5751072961,7.58369098712,0.233,22.0,monstruo/monstruo-022.png
2,12.5897435897,8.11538461538,5.10256410256,0.156,22.0,monstruo/monstruo-022.png
3,9.29496402878,4.51798561151,2.80575539568,0.139,22.0,monstruo/monstruo-022.png
4,20.1231884058,15.9855072464,11.731884058,0.138,22.0,monstruo/monstruo-022.png
5,24.6585365854,16.5243902439,9.51219512195,0.082,22.0,monstruo/monstruo-022.png
6,28.9285714286,22.1428571429,16.9285714286,0.014,22.0,monstruo/monstruo-022.png
7,40.0,33.0,86.0,0.001,22.0,monstruo/monstruo-022.png
