flowX,flowY,intensity
-0.0155753,-0.0112883,0.00740078
0.000769426,-0.0144756,0.016524
-0.0326865,0.0453025,0.0712906
0.04368,0.00764401,0.0654918
0.0357776,0.0150042,0.0628482
0.0656908,-0.0240416,0.00946732
0.0440754,-0.0710196,0.0170036
0.044801,-0.0177207,0.0467428
0.095815,0.067656,0.0376142
0.0131676,-0.0205691,0.00866267
0.0175134,-0.0315001,0.00834625
0.0228833,0.00281617,0.0183265
0.0278506,0.00713178,0.0145376
0.0229645,0.0522367,0.0279745
0.0251449,0.0722285,0.0341271
0.0299886,0.192086,0.133275
0.0131785,0.118056,0.0324862
0.00923185,0.0536339,0.006556
0.00616247,0.0319135,0.000754431
0.0378991,0.0481578,0.130786
0.0321649,-0.0185742,0.214466
0.0289811,-0.0492654,0.0712001
0.00152572,-0.0115374,0.0700192
-0.00530232,0.0197136,0.0825983
-0.0137634,-0.0392423,0.0987993
-0.0109053,0.045072,0.110844
-0.000933739,0.00783027,0.0413802
-0.0113089,-0.0321062,0.0867565
-0.0327367,-0.036352,0.00385214
-0.012068,0.00722783,0.01208
-0.0312234,0.0386383,0.0485024
-0.0281247,0.0172665,0.0321907
-0.0262526,0.0283899,0.0282961
-0.0327992,0.0224656,0.0376103
0.0068719,0.0362667,0.0623693
0.00165791,0.0921702,0.0561915
0.00620602,0.0700895,0.0496815
-0.020364,0.0216316,0.0565779
0.0422139,0.042959,0.0070764
-0.00247779,0.0934959,0.151566
0.0230853,0.0337585,0.0833412
0.00672549,-0.00907637,0.00588254
-0.0453562,0.0212445,0.0514311
-0.0108738,0.0477894,0.138423
-0.0250104,0.00713217,0.0415251
0.0133447,0.0372086,0.055847
0.0181287,-0.0165863,0.0344423
0.00757279,-0.0174174,0.15825
0.0466936,-0.00332233,0.079814
0.0414577,0.0505421,0.124307
0.0565632,0.0879488,0.142439
0.061276,0.0863568,0.0531727
0.0595275,0.125031,0.0940061
0.0509541,0.15794,0.121723
0.0383115,0.155646,0.194551
0.0512274,0.126456,0.0294056
0.0378982,0.14472,0.0292123
0.0489711,0.134816,0.118191
0.056523,0.0739494,0.0688531
0.0208718,0.0820545,0.0679747
0.0174898,0.170001,0.0740226
0.0361665,0.162454,0.294935
0.0272716,0.0820291,0.216496
0.00487705,0.0854546,0.110314
0.00225678,0.109614,0.126975
-0.0145872,0.0117407,0.00495219
-0.00671707,0.00683651,0.0966851
-0.0212377,0.0665298,0.0115389
0.0312217,0.055111,0.0697403
0.010289,0.0357837,0.05743
1.12034,-1.90353,8.56298
0.00277524,-0.00113126,0.00268929
0.025366,9.98406e-06,0.00237145
0.0106215,-0.0221341,0.0523367
0.0301405,-0.0907368,0.0275424
0.0332008,-0.0434109,0.0306068
0.0172154,-0.0213523,0.0409129
0.0477524,-0.0332467,0.02227
0.0412992,-0.019921,0.0211156
0.0498946,0.00434476,0.0210426
0.0209489,0.000573565,0.0205528
0.0219593,-0.0486217,0.132847
0.0157269,-0.019519,0.0282777
0.0205079,-0.0673471,0.0643998
0.0506829,-0.0989932,0.0832841
0.0519172,-0.100283,0.00295589
0.00477502,-0.0474576,0.0731324
0.010215,-0.0488055,0.211856
-0.0171406,-0.143497,0.0531283
-0.0291166,-0.098675,0.0113188
-0.00532637,-0.0453362,0.0248358
-0.0230484,-0.0544652,0.0452111
0.000692126,-0.0282396,0.136109
0.00480796,-0.013182,0.00523608
0.0137828,0.0176846,0.0352825
0.0360033,0.0471504,0.0462456
0.012427,0.000149821,0.0415467
0.0190383,-0.0113156,0.03785
0.0387248,-0.0381061,0.0251955
0.00978939,-0.0116305,0.00959686
0.0291312,-0.0154545,0.0115985
0.0108801,-0.00761061,0.0215052
0.0194669,-0.0184608,0.00231374
0.0436085,-0.0270295,0.0466517
0.0399718,-0.0370135,0.0971007
0.0355258,-0.0497244,0.0716871
-1.39746,2.1204,4.24514
0.0140847,0.00713475,0.00187059
0.0236889,0.0173643,0.000891174
0.00228906,0.0171647,0.00287119
-0.00612691,0.0677425,0.000490871
-0.0193332,0.0263618,0.000401268
-0.00501169,0.0468161,0.000515027
-0.00385468,0.0256336,0.00771034
-0.0118385,-0.0510775,0.0127172
-0.0219172,-0.0881765,0.00107753
-0.0408921,-0.0874103,0.00355815
-0.0238856,-0.0414714,0.000908019
-0.0201757,0.0554986,0.000273579
-0.0276161,0.119174,0.000363951
-0.00254601,0.135193,0.000268486
0.0194525,0.156308,0.000357688
0.0338051,0.126755,0.00114292
0.0412618,0.0942895,0.00111077
0.0328339,0.0665288,0.00166896
0.0421879,0.0575564,0.00133637
0.0324627,0.0482152,0.000891488
0.0334971,0.0462105,0.00362281
0.00971439,0.0109416,0.000817915
0.00756564,0.000800205,0.000833309
0.0251322,-0.0442488,0.0128909
0.042597,-0.0536019,0.00694165
0.0393709,-0.0562362,0.00812633
0.015812,-0.0604367,0.0127721
0.0409608,-0.142931,0.142805
0.0205938,-0.081904,0.034345
0.0387609,-0.0551231,0.0639471
0.0510245,-0.0707595,0.0706316
0.00570072,0.00147965,0.0986289
0.0304519,0.0185461,0.152193
0.00900078,-0.0272914,0.0826163
0.0149816,-0.00425663,0.0160324
