flowX,flowY,intensity
-0.980461,-0.0338423,0.00536588
-0.951379,-0.0599579,0.000975192
-0.938571,-0.0422106,0.00142926
-0.989248,-0.036537,0.00139175
-1.03542,-0.0274346,0.0224562
-0.997468,-0.0259331,0.00586961
-1.03969,-0.0145525,0.00375025
-1.05786,-0.0289517,0.00297995
-1.06433,-0.0260697,0.0017323
-1.01173,-0.0168337,0.00146454
-0.956545,-0.00994744,0.00585879
-0.985526,-0.0212768,0.0216667
-0.992184,-0.00676503,0.00101478
-0.938144,0.0115476,0.00242947
-1.03632,0.0112242,0.00260624
-1.03548,-0.00664374,0.00420534
-0.950547,-0.027205,0.0187637
-1.01505,-0.0303977,0.00585828
-0.995969,-0.018613,0.0021473
-0.982882,0.000507792,0.0105525
-0.996016,-0.00852744,0.00287981
-1.05397,0.0242311,0.00302139
-0.969523,0.0334025,0.0132583
-0.989194,-0.0220737,0.0375377
-0.965239,-0.0218792,0.0140755
-0.974272,-0.0221647,0.00855
-0.985947,-0.00348527,0.00782202
-0.987829,-0.0172716,0.00846405
-0.94568,-0.0310317,0.00111516
-0.952372,-0.00541225,0.000827008
-1.03415,0.0292981,0.000966462
-1.07751,0.0818615,0.00137893
-1.01606,0.11922,0.00263058
-1.00041,0.136704,0.0127748
-0.907298,0.0676817,0.00215824
-0.94033,0.0391212,0.00375513
-0.91029,0.0273961,0.00430439
-0.964998,0.0177021,0.000931549
-0.966517,-0.0358879,0.00160596
-0.903624,-0.0538217,0.00203539
-0.965433,-0.0702968,0.00150922
-0.947614,-0.046964,0.00177522
-0.942967,-0.0111113,0.00103598
-0.909464,0.0210177,0.00229365
-0.942209,0.033189,0.00142213
-0.907439,0.0504841,0.00177514
-0.970916,0.0370724,0.00343979
-0.892669,0.0318074,0.00093625
-0.970733,0.0204006,0.00113477
-0.96698,0.0134748,0.00254626
0,0,0.75
-0.981183,0.00891103,0.00860208
-0.982477,0.017893,0.0021799
-0.960936,0.0227517,0.00102888
-0.951086,0.0291414,0.00115772
-0.980429,0.0353164,0.00449108
-0.963146,0.0309032,0.00124404
-0.991123,0.00985059,0.0172329
-1.00867,-0.00318219,0.00146786
-0.967006,0.0130192,0.0024362
-1.01758,-0.00141834,0.00098772
-1.01055,-0.00656253,0.00525414
-0.991618,0.0149531,0.018688
-0.993542,0.0097433,0.00672174
-1.03643,0.0176712,0.00124002
-1.02975,0.0338676,0.00229663
-1.00853,0.0346796,0.00392577
-0.995275,0.0440529,0.00176074
-0.960894,0.0399626,0.00111051
-0.934017,0.0484722,0.00147124
-0.928996,0.0380133,0.00125083
-0.985319,0.0344009,0.00178151
-1.03472,0.0241811,0.00148521
-0.971786,0.0300214,0.000914899
-0.980609,-0.00603628,0.00100533
-0.945811,0.0293489,0.0176467
-1.07552,0.1193,0.0114344
-1.05144,0.13567,0.00850588
-0.960423,0.0578902,0.0131065
-0.92923,-0.0148392,0.00562667
-0.897066,0.0112799,0.00124503
-0.920384,0.051394,0.00169248
-0.948722,0.0956499,0.00117885
-0.940653,0.132305,0.00430625
-0.903078,0.030695,0.0192531
-0.893101,-0.0394087,0.0046727
-0.830721,-0.143862,0.00966068
-0.823727,-0.218422,0.00707673
-0.762985,-0.0581443,0.00808527
-0.736013,0.0797224,0.019631
-0.808577,0.135126,0.0278911
-0.81784,0.0898839,0.0162183
-0.838603,0.040798,0.0166198
-0.845291,0.0581202,0.0540886
-0.832895,0.0229184,0.0301387
-0.868626,-0.0234671,0.0630245
