flowX,flowY,intensity
0.00885098,0.00358544,1.2754e-06
0.00833117,-0.00330387,0.000447861
0.00920296,-0.00603082,0.000204878
0.00557904,0.0073894,8.25405e-07
0.00740296,-0.00656645,0.000221351
0.00151776,0.000182845,0.000241995
0.00106476,0.00934031,9.65494e-07
0.00162314,-0.00803703,1.44708e-05
0.00285855,0.00390496,9.9358e-07
-0.00439125,0.00381093,7.40537e-06
0.00272655,0.00246609,9.67044e-07
-0.0060121,0.00538085,9.67981e-07
0.0022605,-0.000503616,0.000133278
0.00132246,0.00746462,0.000405539
-0.00169008,0.0111491,0.00057244
0.0084326,-0.00352717,0.000750048
0.00138108,-0.000896481,1.05682e-06
0.0111677,-0.00177445,0.000396662
0.0143548,-0.00265846,3.78504e-06
0.0103697,-0.00102228,5.33922e-07
0.00850313,0.000811689,6.76517e-07
0.0161286,-0.00624727,0.000320205
0.0170598,0.00828057,3.64299e-07
0.00753614,-0.00865033,7.78975e-07
0.00853679,0.000999018,4.95023e-05
0.0173721,0.00394301,0.000941825
0.012494,-0.00856456,0.000108632
0.0116705,0.00819438,4.20137e-05
0.0147458,-0.00357335,0.00110266
0.00624915,0.00262,1.42654e-06
0,0,1.4013e-45
0.005231,0.00099668,0.000374364
0,0,8.40738e-40
0.00413986,-0.000607887,1.0818e-06
0,0,1.4013e-45
0.00618476,-0.00511378,0.000453666
0,0,9.76345e-40
0.00616849,0.00420599,1.32679e-05
0.00231129,0.00313458,7.8752e-07
0.00590869,-0.00233082,1.41362e-06
0.0140972,-0.00282344,0.000335903
0.0134499,0.00153851,0.000169942
0.0205746,0.00278054,0.000103479
0.0161281,0.00241714,1.36657e-06
0.0146469,0.00314969,1.17741e-06
0.0143871,-0.0049226,1.39309e-06
0.0208911,-0.00212579,1.25787e-06
0.0158017,-0.000993468,1.39232e-06
0.00997615,5.8256e-05,1.12405e-06
0.0172085,0.0035706,0.000317902
0.00458809,-0.00097601,5.41991e-05
0.0113986,0.00616506,3.63881e-06
0.00623199,-0.00562339,8.07672e-05
