flowX,flowY,intensity
3.82479,-1.30951,9.92402
6.30872,-1.27009,10.7605
6.30768,0.467523,8.74133
5.96156,1.5664,7.15796
4.42405,2.739,5.65976
2.18703,2.50468,3.33936
0.0599312,2.37194,2.35355
-1.27439,1.48458,1.49806
-1.53505,-1.09825,2.15731
0.195798,-3.58867,2.59385
1.429,-4.79082,3.76226
0.147462,-6.31051,6.49458
-1.62082,-5.899,6.05607
0,0,0
-4.15251,-2.69782,5.51286
-6.49322,0.837161,9.72603
-6.22146,4.77032,8.59577
-4.44139,4.43676,7.91916
-0.537755,2.21733,2.71132
3.48615,0.904006,3.66004
4.28059,-2.29508,5.61017
5.18079,-4.89416,8.06957
1.97038,-4.14717,19.6125
1.86615,0.824627,17.3924
1.76427,1.06916,11.937
2.81141,1.26832,6.46417
2.67786,1.41304,6.08057
2.68831,1.34494,4.69431
1.08225,0.550163,1.36402
-1.03183,0.959306,1.44207
-2.51952,0.766937,4.30159
-2.90106,0.184625,6.66299
-2.43599,-0.54614,5.61328
-1.36017,-0.767643,3.31108
-0.658635,0.330607,1.00809
-0.981529,0.76937,2.68783
-0.217926,0.234276,0.979906
0.21096,-0.484372,0.548331
0.371812,-0.761853,0.758017
0.7186,0.465974,2.55487
0.902956,1.44819,4.51271
1.60494,1.56336,5.83789
1.20021,1.37276,5.19081
0.846706,0.738802,3.91435
0.207309,-0.449846,1.71864
-0.00413963,-1.07266,1.96608
-0.443098,-1.49352,2.67419
-0.469407,-1.37295,3.64666
-0.864136,-0.266902,2.64409
-1.45984,-0.610353,4.07631
-0.300902,-1.91109,4.69799
0.0917447,-1.4121,3.84355
-0.112269,-0.00566582,1.24122
1.0161,2.07131,3.65915
2.00345,2.31581,6.40489
3.0536,1.98648,8.94956
2.7208,-0.521125,3.61668
2.21119,-1.21012,4.40197
1.73876,-0.955225,2.67809
-0.806245,-1.86826,2.53857
-2.71961,0.128007,3.2333
-1.22143,0.191608,2.70535
-0.506188,0.143183,1.67893
-1.12318,-0.377903,3.22394
-0.0883033,-0.387375,2.98545
0.0609887,0.87664,0.743864
-0.140827,0.77493,1.29345
-0.0137389,0.594419,1.28748
-0.855138,-0.314632,3.22136
-1.38132,0.725807,3.63722
-0.624753,0.188942,2.14997
-1.1187,0.482636,2.39815
-0.400487,0.412868,0.955686
0.396339,0.0653503,0.502646
0.525086,0.00618758,0.773616
1.27107,0.556535,2.7437
0.774318,0.879736,1.86846
0.561944,0.757355,1.06265
-0.0728499,1.09276,2.16722
-1.01505,1.24607,3.39844
-2.41256,0.371578,5.3706
-2.53817,-1.09729,6.51931
-2.9026,-0.737848,6.68182
-2.72814,-0.14532,6.25106
-2.9881,-0.396149,7.96975
-2.2124,-0.777618,5.98715
-1.57498,-1.34227,5.71798
-0.874845,-1.28041,3.37277
-0.365899,-0.510404,1.60868
0.792401,-0.596237,0.959909
1.32741,0.504488,2.66376
1.84209,1.26997,5.02714
1.82901,1.88499,5.7903
1.53479,1.70477,4.92505
1.52725,0.388372,3.87604
1.06776,-0.450334,2.64681
