flowX,flowY,intensity
-0.072506,-0.00529737,0.34542
-0.0928523,-0.00241645,0.354185
-0.116399,-0.0121633,0.34643
-0.0819048,-0.00442888,0.33307
-0.0880954,0.00198952,0.429142
-0.0704441,-0.0108467,0.291087
-0.0804123,-0.0125013,0.348086
-0.0968251,-0.0027735,0.36241
-0.0955058,-0.0152915,0.341234
-0.091843,-0.000199133,0.363376
-0.0672301,0.00162616,0.300887
-0.0974629,-0.00202642,0.299597
-0.0963888,-0.0106871,0.321053
-0.0893306,0.000364283,0.358369
-0.0942777,-0.00315304,0.261328
-0.090529,-0.0088459,0.286221
-0.103332,-0.00671244,0.338781
-0.0994076,-0.000302155,0.365974
-0.0998601,-0.00957254,0.399281
-0.129045,-0.00130299,0.392311
-0.114944,-0.00108152,0.404358
-0.106994,-0.00588806,0.339738
-0.0729703,-0.00506491,0.197082
-0.102153,-0.00933229,0.503998
1.03981,0.265469,12.0745
2.29123,-0.161269,2.74562
2.24396,-0.148544,2.53867
2.19098,-0.0951641,2.50585
2.0916,-0.0578902,2.3781
2.02502,-0.0497136,2.27346
1.84698,-0.00694456,2.28549
1.68826,-0.0308729,2.07652
1.54866,-0.0258161,2.06148
1.45624,-0.0536071,1.91473
1.36585,-0.0294422,1.85345
1.36044,-0.0337866,1.8414
1.35121,-0.0210539,1.85927
1.38579,0.00143092,1.89914
1.31202,0.012713,1.88467
1.28572,0.0310334,1.93115
1.22074,0.0625706,1.91453
1.15478,0.0545111,1.73244
1.05266,0.165033,1.91419
0.984702,0.186349,1.68912
0.955229,0.264253,1.91019
1.00263,0.250853,1.923
1.03474,0.214825,1.89251
1.05891,0.158812,2.03106
1.09088,0.109585,1.9647
1.11851,0.00932984,1.98436
1.19259,-0.0638515,2.15902
1.27981,-0.167731,2.1701
1.33354,-0.161944,2.26704
1.31246,-0.211408,2.21025
1.25368,-0.214882,2.11375
1.15377,-0.260058,2.07175
1.09425,-0.243253,1.87047
